,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps
0,AR: Buenos Aires-Presidente Peron,-34.91777777777777,-58.37916666666667,-34.91777777777777,-58.37916666666667,174179
1,AR: Capital Federal-Ciudad de Buenos Aires,-34.613055555555555,-58.37722222222222,-34.613055555555555,-58.37722222222222,174489
2,AR: Buenos Aires-Suipacha,-34.75,-59.75,-34.75,-59.75,11339
3,AR: Buenos Aires-Necochea,-38.55444444444444,-58.739444444444445,-38.55444444444444,-58.739444444444445,103360
4,AR: TucumÃ¡n-Lules,-26.928611111111113,-65.33833333333332,-26.928611111111113,-65.33833333333332,91275
5,AR: Buenos Aires-MorÃ³n,-34.65083333333333,-58.61944444444445,-34.65083333333333,-58.61944444444445,156982
6,AR: Buenos Aires-Gran Buenos Aires,-34.617777777777775,-58.477222222222224,-34.617777777777775,-58.477222222222224,147957
7,AR: Santa FÃ©-Gran Rosario,-32.975,-60.681666666666665,-32.975,-60.681666666666665,46610
8,AR: Buenos Aires-La Plata,-34.921388888888885,-57.95444444444445,-34.921388888888885,-57.95444444444445,149304
9,AR: Buenos Aires-La Matanza,-34.75,-58.583333333333336,-34.75,-58.583333333333336,139456
10,AR: Jujuy-Ledesma-Libertador General San MartÃ­n,-23.813055555555557,-64.79333333333334,-23.813055555555557,-64.79333333333334,4539
11,AR: Buenos Aires-General San MartÃ­n,-34.573055555555555,-58.54083333333333,-34.573055555555555,-58.54083333333333,133509
12,AR: Buenos Aires-Avellaneda,-34.666666666666664,-58.333333333333336,-34.666666666666664,-58.333333333333336,14712
13,AR: Tierra del Fuego-RÃ­o Grande,-53.7875,-67.70972222222223,-53.7875,-67.70972222222223,21372
14,AR: Mendoza-LujÃ¡n de Cuyo,-33.0,-69.33333333333333,-33.0,-69.33333333333333,3890
15,AR: Buenos Aires-Tres de Febrero,-34.603611111111114,-58.54611111111111,-34.603611111111114,-58.54611111111111,133290
16,AR: CÃ³rdoba-ColÃ³n-JuÃ¡rez Celman,-31.258055555555554,-64.16611111111112,-31.258055555555554,-64.16611111111112,9571
17,AR: Buenos Aires-BahÃ­a Blanca,-38.71944444444445,-62.27222222222222,-38.71944444444445,-62.27222222222222,83919
18,AR: Buenos Aires-Escobar,-34.333333333333336,-58.75,-34.333333333333336,-58.75,156774
19,AR: CÃ³rdoba-Gran RÃ­o Cuarto,0.0,0.0,0.0,0.0,24021
20,AR: Buenos Aires-San Fernando,-34.45305555555556,-58.58972222222222,-34.45305555555556,-58.58972222222222,24121
21,AR: Buenos Aires-Mar de Plata-General PueyrredÃ³n,-38.000277777777775,-57.55611111111111,-38.000277777777775,-57.55611111111111,171026
22,AR: Mendoza-General Alvear,-35.166666666666664,-67.33333333333333,-35.166666666666664,-67.33333333333333,5671
23,AR: Buenos Aires-San Miguel (GBA),0.0,0.0,0.0,0.0,24021
24,AR: Buenos Aires-Saavedra,-37.75,-62.5,-37.75,-62.5,19750
25,AR: RÃ­o Negro-Bariloche,-41.14555555555555,-71.30805555555555,-41.14555555555555,-71.30805555555555,82813
26,AR: Buenos Aires-Berazategui,-34.765277777777776,-58.21277777777778,-34.765277777777776,-58.21277777777778,202532
27,AR: Santa FÃ©-General LÃ³pez,-33.833333333333336,-61.833333333333336,-33.833333333333336,-61.833333333333336,27160
28,AR: Buenos Aires-9 de Julio,-35.5,-61.0,-35.5,-61.0,1398
29,AR: Chaco-Mayor Luis J. Fontana,-27.75,-60.666666666666664,-27.75,-60.666666666666664,2027
30,AR: Buenos Aires-Adolfo Alsina,-37.25,-63.0,-37.25,-63.0,4855
31,AR: Buenos Aires-Almirante Brown,-34.833333333333336,-58.333333333333336,-34.833333333333336,-58.333333333333336,18633
32,AR: Buenos Aires-ChascomÃºs,-35.477222222222224,-57.9775,-35.477222222222224,-57.9775,3006
33,No documentado,0.0,0.0,0.0,0.0,24021
34,AR: Santa FÃ©-San CristÃ³bal,-29.873333333333335,-61.92916666666667,-29.873333333333335,-61.92916666666667,7854
35,AR: Entre RÃ­os-Gran ParanÃ¡,-31.73638888888889,-60.51722222222222,-31.73638888888889,-60.51722222222222,102909
36,AR: Santa FÃ©-Las Colonias,-31.5,-61.13333333333333,-31.5,-61.13333333333333,25682
37,AR: Buenos Aires-Ituzaingo,-34.66027777777778,-58.66611111111111,-34.66027777777778,-58.66611111111111,177147
38,AR: Santa FÃ©-Castellanos,-31.166666666666668,-61.666666666666664,-31.166666666666668,-61.666666666666664,7379
39,AR: Misiones-General Manuel Belgrano-San Antonio,-26.059722222222224,-53.73555555555556,-26.059722222222224,-53.73555555555556,25798
40,AR: Buenos Aires-General Alvarado,-38.166666666666664,-58.083333333333336,-38.166666666666664,-58.083333333333336,1959
41,AR: Buenos Aires-Vicente LÃ³pez,-34.52333333333333,-58.47416666666667,-34.52333333333333,-58.47416666666667,166935
42,AR: Santa FÃ©-Las Colonias-San JerÃ³nimo,-31.608333333333334,-61.14138888888889,-31.608333333333334,-61.14138888888889,31222
43,AR: Buenos Aires-La Costa,-36.577222222222225,-56.6875,-36.577222222222225,-56.6875,22018
44,AR: Entre RÃ­os-San Antonio de Padua de la Concordia,0.0,0.0,0.0,0.0,24021
45,AR: RÃ­o Negro-General Roca,-39.03333333333333,-67.58333333333333,-39.03333333333333,-67.58333333333333,90744
46,AR: Buenos Aires-Quilmes,-34.72888888888889,-58.26361111111111,-34.72888888888889,-58.26361111111111,154879
47,AR: Buenos Aires-Merlo,-34.66611111111111,-58.72916666666667,-34.66611111111111,-58.72916666666667,156281
48,AR: Buenos Aires-Hurlingham (GBA),0.0,0.0,0.0,0.0,24021
49,AR: TucumÃ¡n-TafÃ­ Viejo,-26.73222222222222,-65.25833333333334,-26.73222222222222,-65.25833333333334,60516
50,AR: Buenos Aires-LanÃºs,-34.666666666666664,-58.416666666666664,-34.666666666666664,-58.416666666666664,182088
51,AR: Entre RÃ­os-Diamante,-32.166666666666664,-60.416666666666664,-32.166666666666664,-60.416666666666664,3504
52,AR: Buenos Aires-MaipÃº,-36.833333333333336,-57.5,-36.833333333333336,-57.5,13412
53,AR: CÃ³rdoba-Marcos JuÃ¡rez,-33.0,-62.25,-33.0,-62.25,16767
54,AR: Salta-El Tala (Ruiz de los Llanos),-26.111666666666668,-65.27638888888889,-26.111666666666668,-65.27638888888889,19096
55,AR: Buenos Aires-TapalquÃ©,-36.333333333333336,-60.083333333333336,-36.333333333333336,-60.083333333333336,18444
56,AR: Mendoza-San Rafael,-34.6175,-68.33,-34.6175,-68.33,45343
57,AR: Buenos Aires-Moreno,-34.63472222222222,-58.79055555555556,-34.63472222222222,-58.79055555555556,108031
58,AR: Buenos Aires-Florencio Varela,-34.833333333333336,-58.25,-34.833333333333336,-58.25,211
59,AR: CÃ³rdoba-Punilla,-31.166666666666668,-64.66666666666667,-31.166666666666668,-64.66666666666667,523
60,AR: Santiago del Estero-RÃ­o Hondo,-27.495833333333334,-64.935,-27.495833333333334,-64.935,27102
61,AR: Buenos Aires-JosÃ© C. Paz,-34.515277777777776,-58.768055555555556,-34.515277777777776,-58.768055555555556,126371
62,AR: Buenos Aires-Esteban EcheverrÃ­a,-34.81916666666667,-58.465833333333336,-34.81916666666667,-58.465833333333336,188269
63,AR: Corrientes-Santo TomÃ©,-28.25,-56.25,-28.25,-56.25,30931
64,AR: Corrientes-Empedrado,-27.833333333333332,-58.666666666666664,-27.833333333333332,-58.666666666666664,749
65,AR: CÃ³rdoba-IschilÃ­n,-30.5,-64.58333333333333,-30.5,-64.58333333333333,54373
66,AR: Buenos Aires-Marcos Paz,-34.833333333333336,-58.833333333333336,-34.833333333333336,-58.833333333333336,9249
67,AR: Buenos Aires-PehuajÃ³,-35.916666666666664,-61.75,-35.916666666666664,-61.75,2795
68,AR: NeuquÃ©n-Zapala,-38.97527777777778,-70.11361111111111,-38.97527777777778,-70.11361111111111,1952
69,AR: Tierra del Fuego-RÃ­o Chico,-53.63861111111111,-68.17722222222223,-53.63861111111111,-68.17722222222223,4502
70,AR: Buenos Aires-San Isidro,-34.49,-58.530277777777776,-34.49,-58.530277777777776,170140
71,AR: Buenos Aires-General Arenales,-34.25,-61.25,-34.25,-61.25,17531
72,AR: Buenos Aires-Campana,-34.16305555555555,-58.95916666666667,-34.16305555555555,-58.95916666666667,87451
73,AR: TucumÃ¡n-Yerba Buena,-26.816666666666666,-65.31666666666666,-26.816666666666666,-65.31666666666666,137900
74,AR: Buenos Aires-Lobos,-35.25,-59.166666666666664,-35.25,-59.166666666666664,8843
75,AR: Buenos Aires-Pilar,-34.45861111111111,-58.91416666666667,-34.45861111111111,-58.91416666666667,97462
76,AR: Entre RÃ­os-Colon,-32.00361111111111,-58.363055555555555,-32.00361111111111,-58.363055555555555,1556
77,AR: Buenos Aires-Ezeiza (GBA)-UniÃ³n,0.0,0.0,0.0,0.0,24021
78,AR: La Pampa-GuatrachÃ©,-37.5,-63.75,-37.5,-63.75,18531
79,AR: CÃ³rdoba-Tercero Arriba,-32.172777777777775,-64.11388888888888,-32.172777777777775,-64.11388888888888,86381
80,AR: Chubut-Cushamen,-42.5,-70.83333333333333,-42.5,-70.83333333333333,3506
81,AR: Santa Cruz-Puerto Deseado,-47.73527777777778,-65.9038888888889,-47.73527777777778,-65.9038888888889,24571
82,AR: Jujuy-San Pedro (Est. San Pedro de Jujuy),0.0,0.0,0.0,0.0,24021
83,AR: Chaco-Presidencia Roque SÃ¡enz PeÃ±a,-26.785,-60.43861111111111,-26.785,-60.43861111111111,204583
84,AR: Santiago del Estero-Banda,-27.5,-64.33333333333333,-27.5,-64.33333333333333,6074
85,AR: Catamarca-Santa MarÃ­a,-26.666666666666668,-66.41666666666667,-26.666666666666668,-66.41666666666667,528
86,AR: Buenos Aires-Lomas de Zamora,-34.75,-58.416666666666664,-34.75,-58.416666666666664,75651
87,AR: Buenos Aires-Daireaux,-36.59805555555556,-61.74305555555556,-36.59805555555556,-61.74305555555556,17259
88,AR: Buenos Aires-Malvinas Argentinas,-34.5075,-58.69555555555555,-34.5075,-58.69555555555555,114048
89,AR: Buenos Aires-Caseros,-34.60333333333333,-58.56388888888888,-34.60333333333333,-58.56388888888888,171225
90,AR: La Pampa-MaracÃ³,-35.69611111111111,-63.75805555555556,-35.69611111111111,-63.75805555555556,4021
91,AR: Buenos Aires-Coronel Brandsen,-35.25,-58.166666666666664,-35.25,-58.166666666666664,16759
92,AR: NeuquÃ©n-Confluencia,-38.95138888888889,-68.05888888888889,-38.95138888888889,-68.05888888888889,139406
93,AR: Salta-Rosario de la Frontera,-25.916666666666668,-64.83333333333333,-25.916666666666668,-64.83333333333333,4664
94,AR: Buenos Aires-Castelli,-36.0,-57.666666666666664,-36.0,-57.666666666666664,49227
95,AR: Buenos Aires-Tigre,-34.42583333333333,-58.57944444444445,-34.42583333333333,-58.57944444444445,216780
96,AR: CÃ³rdoba-RÃ­o Segundo,-31.6525,-63.90972222222222,-31.6525,-63.90972222222222,16905
97,AR: Entre RÃ­os-GualeguaychÃº,-33.009166666666665,-58.51722222222222,-33.009166666666665,-58.51722222222222,74563
98,AR: Buenos Aires-ItuzaingÃ³,-34.66027777777778,-58.66611111111111,-34.66027777777778,-58.66611111111111,177147
99,AR: Salta-San RamÃ³n de la Nueva OrÃ¡n,-23.136944444444445,-64.32416666666666,-23.136944444444445,-64.32416666666666,51413
100,AR: Buenos Aires-JunÃ­n,-34.58361111111111,-60.94305555555555,-34.58361111111111,-60.94305555555555,62673
101,AR: Buenos Aires-Pergamino,-33.88972222222222,-60.57333333333334,-33.88972222222222,-60.57333333333334,120270
102,AR: Chubut-Escalante,-45.333333333333336,-67.33333333333333,-45.333333333333336,-67.33333333333333,32349
103,AR: Buenos Aires-La Matanza-San Justo,-34.67638888888889,-58.56055555555555,-34.67638888888889,-58.56055555555555,103645
104,AR: Buenos Aires-Benito JuÃ¡rez,-37.5,-59.916666666666664,-37.5,-59.916666666666664,13824
105,AR: Buenos Aires-Ezeiza (GBA),0.0,0.0,0.0,0.0,24021
106,AR: Jujuy-Dr. Manuel Belgrano,0.0,0.0,0.0,0.0,24021
107,AR: Misiones-Eldorado,-26.40833333333333,-54.69444444444444,-26.40833333333333,-54.69444444444444,4488
108,AR: Buenos Aires-Pinamar,-37.11027777777778,-56.855000000000004,-37.11027777777778,-56.855000000000004,78560
109,AR: Buenos Aires-Tandil,-37.32166666666667,-59.13305555555556,-37.32166666666667,-59.13305555555556,121707
110,AR: Chaco-Comandante FernÃ¡ndez,-26.833333333333332,-60.5,-26.833333333333332,-60.5,8559
111,AR: Entre RÃ­os-FederaciÃ³n,-30.75027777777778,-57.97944444444445,-30.75027777777778,-57.97944444444445,38552
112,AR: Buenos Aires-12 de Octubre,-35.606944444444444,-60.91777777777777,-35.606944444444444,-60.91777777777777,1398
113,AR: Misiones-GuaranÃ­,-27.166666666666668,-54.166666666666664,-27.166666666666668,-54.166666666666664,6108
114,AR: CÃ³rdoba-RÃ­o Primero,-31.083333333333332,-63.5,-31.083333333333332,-63.5,24934
115,AR: Buenos Aires-ZÃ¡rate,-34.09805555555556,-59.02833333333333,-34.09805555555556,-59.02833333333333,92494
116,AR: Buenos Aires-LujÃ¡n,-34.57027777777778,-59.105000000000004,-34.57027777777778,-59.105000000000004,142331
117,AR: Buenos Aires-Mercedes,-34.666666666666664,-59.416666666666664,-34.666666666666664,-59.416666666666664,11230
118,AR: RÃ­o Negro-Pichi Mahuida,-39.5,-64.5,-39.5,-64.5,16769
119,AR: Santa FÃ©-Santa FÃ©,-31.648611111111112,-60.70861111111111,-31.648611111111112,-60.70861111111111,121305
120,AR: Santa FÃ©-General Obligado,-28.75,-59.75,-28.75,-59.75,6395
121,AR: Buenos Aires-San AndrÃ©s de Giles,-34.5,-59.5,-34.5,-59.5,10334
122,AR: Misiones-Candelaria,-27.5,-55.5,-27.5,-55.5,4584
123,AR: Buenos Aires-San NicolÃ¡s,-33.33416666666667,-60.21055555555556,-33.33416666666667,-60.21055555555556,66163
124,AR: San Juan-JÃ¡chal,-30.5,-68.5,-30.5,-68.5,4779
125,AR: TucumÃ¡n-Bella vista,-27.034166666666668,-65.30194444444444,-27.034166666666668,-65.30194444444444,17835
126,AR: Mendoza-Las Heras,-32.65361111111111,-70.01138888888889,-32.65361111111111,-70.01138888888889,3793
127,AR: NeuquÃ©n-Huiliches,-39.75,-71.33333333333333,-39.75,-71.33333333333333,10676
128,AR: Catamarca-Valle Viejo,-28.583333333333332,-65.75,-28.583333333333332,-65.75,4175
129,AR: La Rioja-Chilecito,-29.223888888888887,-67.4388888888889,-29.223888888888887,-67.4388888888889,6918
130,AR: Chubut-Gaiman,-43.333333333333336,-66.33333333333333,-43.333333333333336,-66.33333333333333,1249
131,AR: Salta-General GÃ¼emes,-24.794444444444448,-64.94388888888889,-24.794444444444448,-64.94388888888889,1917
132,AR: CÃ³rdoba-Calamuchita,-32.25,-64.58333333333333,-32.25,-64.58333333333333,8260
133,AR: Santa Cruz-Lago Argentino,-50.21666666666667,-72.41666666666667,-50.21666666666667,-72.41666666666667,24671
134,AR: San Luis-General Pedernera,-33.833333333333336,-65.58333333333333,-33.833333333333336,-65.58333333333333,47697
135,AR: Buenos Aires-Trenque Lauquen,-36.0,-62.666666666666664,-36.0,-62.666666666666664,2969
136,AR: Buenos Aires-Chivilcoy,-34.89555555555555,-60.016666666666666,-34.89555555555555,-60.016666666666666,125330
137,AR: Entre RÃ­os-ConcepciÃ³n del Uruguay,-32.48444444444444,-58.231944444444444,-32.48444444444444,-58.231944444444444,105274
138,AR: Buenos Aires-Chacabuco,-34.666666666666664,-60.333333333333336,-34.666666666666664,-60.333333333333336,47644
139,AR: Buenos Aires-Baradero,-33.833333333333336,-59.5,-33.833333333333336,-59.5,33660
140,AR: Entre RÃ­os-Villaguay,-31.583333333333332,-59.0,-31.583333333333332,-59.0,7908
141,AR: Misiones-San Ignacio,-27.25,-55.333333333333336,-27.25,-55.333333333333336,1220
142,AR: RÃ­o Negro-Pilcaniyeu,-40.75,-70.5,-40.75,-70.5,19982
143,AR: Santiago del Estero-RÃ­o Hondo-JimÃ©nez,-27.572499999999998,-64.47666666666667,-27.572499999999998,-64.47666666666667,23465
144,AR: La Pampa-Conhelo,-36.0,-64.5,-36.0,-64.5,14933
145,AR: Buenos Aires-General Villegas,-34.75,-63.0,-34.75,-63.0,141632
146,AR: Chubut-Biedma,-42.416666666666664,-65.0,-42.416666666666664,-65.0,43135
147,AR: Buenos Aires-Belgrano,-34.5625,-58.45805555555556,-34.5625,-58.45805555555556,195318
148,AR: Tierra del Fuego-Ushuaia,-54.81083333333333,-68.31583333333333,-54.81083333333333,-68.31583333333333,18214
149,AR: Buenos Aires-OlavarrÃ­a,-36.8925,-60.322500000000005,-36.8925,-60.322500000000005,75603
150,AR: Entre RÃ­os-Islas del Ibicuy,-33.723888888888894,-58.659444444444446,-33.723888888888894,-58.659444444444446,115721
151,AR: Jujuy-El Carmen,-24.392777777777777,-65.09777777777778,-24.392777777777777,-65.09777777777778,29666
152,AR: Mendoza-Rivadavia,-33.18,-68.46583333333334,-33.18,-68.46583333333334,12038
153,AR: Chubut-Rawson,-43.3,-65.10222222222221,-43.3,-65.10222222222221,27373
154,AR: Buenos Aires-Coronel de Marina L. Rosales,0.0,0.0,0.0,0.0,24021
155,AR: Buenos Aires-CaÃ±uelas,-35.083333333333336,-58.75,-35.083333333333336,-58.75,89763
156,AR: Misiones-Leandro N. Alem,-27.566666666666666,-55.333333333333336,-27.566666666666666,-55.333333333333336,33422
157,AR: Santa Cruz-GÃ¼er Aike,-51.333333333333336,-70.33333333333333,-51.333333333333336,-70.33333333333333,16158
158,AR: Catamarca-Ambato,-28.0,-65.91666666666667,-28.0,-65.91666666666667,21940
159,AR: Misiones-RepÃºblica del Paraguay-AristÃ³bulo del Valle-Iglesia,0.0,0.0,0.0,0.0,24021
160,AR: Buenos Aires-ExaltaciÃ³n de la Cruz,-34.25,-59.25,-34.25,-59.25,8900
161,AR: RÃ­o Negro-Carmen de Patagones,0.0,0.0,0.0,0.0,24021
162,AR: Formosa-Pilcomayo,-25.5,-58.083333333333336,-25.5,-58.083333333333336,46919
163,AR: Buenos Aires-Coronel Pringles,-38.25,-61.333333333333336,-38.25,-61.333333333333336,6102
164,AR: Corrientes-Esquina,-30.0,-59.333333333333336,-30.0,-59.333333333333336,19562
165,AR: Catamarca-Fray Mamerto EsquiÃº,-28.3,-65.75,-28.3,-65.75,291
166,AR: Chaco-Grl. JosÃ© de San MartÃ­n,0.0,0.0,0.0,0.0,24021
167,AR: CÃ³rdoba-Marcos JuÃ¡rez-Cruz Alta,-33.00861111111111,-61.80722222222222,-33.00861111111111,-61.80722222222222,7179
168,AR: Buenos Aires-General Rodriguez,-34.666666666666664,-59.0,-34.666666666666664,-59.0,22966
169,AR: Santa FÃ©-San Lorenzo,-33.0,-61.0,-33.0,-61.0,8693
170,AR: Buenos Aires-Balcarce,-37.75,-58.25,-37.75,-58.25,2441
171,AR: Misiones-Libertador General San MartÃ­n-San Alberto,-26.80888888888889,-55.021388888888886,-26.80888888888889,-55.021388888888886,11552
172,AR: La Rioja-Rosario Vera PeÃ±aloza,-31.416666666666668,-66.66666666666667,-31.416666666666668,-66.66666666666667,36041
173,AR: NeuquÃ©n-LÃ¡car,-40.25,-71.2,-40.25,-71.2,71749
174,AR: TucumÃ¡n-Chicligasta,-27.333333333333332,-65.58333333333333,-27.333333333333332,-65.58333333333333,184138
175,AR: Buenos Aires-San NicolÃ¡s-Plaza Lavalle,0.0,0.0,0.0,0.0,24021
176,AR: Salta-Rosario de Lerma,-24.583333333333332,-65.83333333333333,-24.583333333333332,-65.83333333333333,5560
177,AR: La Pampa-Rancul,-35.5,-64.75,-35.5,-64.75,4668
178,AR: Buenos Aires-Rojas,-34.25,-60.75,-34.25,-60.75,4621
179,AR: La Pampa-LoventuÃ©,-36.5,-65.5,-36.5,-65.5,2704
180,AR: Buenos Aires-Lincoln,-34.86638888888889,-61.53,-34.86638888888889,-61.53,39092
181,AR: Formosa-Matacos,-23.833333333333332,-62.166666666666664,-23.833333333333332,-62.166666666666664,9638
182,AR: Santa FÃ©-Iriondo,-32.63333333333333,-61.333333333333336,-32.63333333333333,-61.333333333333336,8317
183,AR: Mendoza-TunuyÃ¡n,-33.666666666666664,-69.5,-33.666666666666664,-69.5,658
184,AR: Buenos Aires-Las Flores,-36.06638888888889,-59.10444444444445,-36.06638888888889,-59.10444444444445,15032
185,AR: Misiones-Puerto IguazÃº,-25.598888888888887,-54.57333333333334,-25.598888888888887,-54.57333333333334,83567
186,AR: Buenos Aires-SalliquelÃ³,-36.666666666666664,-63.083333333333336,-36.666666666666664,-63.083333333333336,20649
187,AR: Mendoza-Tupungato,-33.25,-69.25,-33.25,-69.25,12453
188,AR: Buenos Aires-General Viamonte,-35.0,-61.0,-35.0,-61.0,5322
189,AR: Corrientes-Goya,-29.139722222222222,-59.263333333333335,-29.139722222222222,-59.263333333333335,80288
190,AR: Buenos Aires-25 de Mayo,-35.5,-60.25,-35.5,-60.25,7644
191,AR: Buenos Aires-Ramallo,-33.5,-60.083333333333336,-33.5,-60.083333333333336,2608
192,AR: Entre RÃ­os-Gualeguay,-33.0,-59.583333333333336,-33.0,-59.583333333333336,1744
193,AR: Chubut-Sarmiento,-45.333333333333336,-69.0,-45.333333333333336,-69.0,1364
194,AR: La Rioja-General Ocampo,-31.0,-66.25,-31.0,-66.25,23471
195,AR: Buenos Aires-Tordillo,-36.5,-57.25,-36.5,-57.25,12285
196,AR: Formosa-Formosa,-26.184722222222224,-58.17305555555555,-26.184722222222224,-58.17305555555555,43974
197,AR: La Pampa-Santa Rosa,-36.61666666666667,-64.28333333333333,-36.61666666666667,-64.28333333333333,91557
198,AR: Corrientes-Paso de los Libres,-29.689166666666665,-57.151944444444446,-29.689166666666665,-57.151944444444446,4351
199,AR: Buenos Aires-Tornquist,-38.25,-62.25,-38.25,-62.25,11697
200,AR: Buenos Aires-Coronel Dorrego,-38.666666666666664,-61.166666666666664,-38.666666666666664,-61.166666666666664,2451
201,BO: Beni-Trinidad,-14.833333333333334,-64.9,-14.833333333333334,-64.9,23273
202,BO: Beni-Riberalta,-11.01,-66.0525,-11.01,-66.0525,19729
203,BO: Cochabamba-Nueva Galilea,0.0,0.0,0.0,0.0,24021
